Year,WordCount,Keyword
2004-01,1,Thrift
2005-01,5,Thrift
2006-01,1,Thrift
2007-01,4,Thrift
2008-01,0,Thrift
2009-01,1,Thrift
2010-01,1,Thrift
2011-01,2,Thrift
2012-01,7,Thrift
2013-01,10,Thrift
2014-01,0,Thrift
2015-01,2,Thrift
2016-01,0,Thrift
2017-01,5,Thrift
2017-12,4,Thrift
2018-01,5,Thrift
