Year,WordCount,Keyword
2004-01,8,Gucci
2005-01,8,Gucci
2006-01,5,Gucci
2007-01,8,Gucci
2008-01,10,Gucci
2009-01,9,Gucci
2010-01,5,Gucci
2011-01,2,Gucci
2012-01,10,Gucci
2013-01,8,Gucci
2014-01,3,Gucci
2015-01,10,Gucci
2016-01,3,Gucci
2017-01,52,Gucci
2018-01,3,Gucci
