Year,WordCount,Keyword
2004-01,0,Panda
2005-01,1,Panda
2006-01,2,Panda
2007-01,1,Panda
2008-01,1,Panda
2009-01,3,Panda
2010-01,2,Panda
2011-01,8,Panda
2012-01,2,Panda
2013-01,5,Panda
2014-01,7,Panda
2015-01,2,Panda
2016-01,56,Panda
2017-01,6,Panda
2018-01,3,Panda
